bucket,name,prompt,tokens_baseline,tokens_srb,wall_time_baseline_s,wall_time_srb_s,avg_entropy_baseline,avg_entropy_srb,final_entropy_srb,stop_reason_srb,resonance_efficiency
code,code_000,Write Python code to implement Dijkstra’s shortest path and then explain how it works in detailed comments.,768,768,118.79888582229614,106.2222158908844,0.12788653024472296,0.14255304262042046,8.106231689453125e-06,cap_safety,0.0
code,code_001,Write a Python function that parses a simple CSV into rows and computes column averages; include tests and explanations.,768,627,120.52672791481018,76.54368305206299,0.12856473571931323,0.17504885559827327,1.185546875,eos_token,0.1836
code,code_002,"Write a Python script that fetches JSON from a local file, validates a schema, and prints a summary; include docstrings.",428,604,54.714988231658936,65.81796503067017,0.16256785935887666,0.12952480233268232,0.75048828125,eos_token,0.0
code,code_003,Implement a basic LRU cache class in Python and explain the time complexities in comments.,435,457,53.39460778236389,40.0911431312561,0.3137259528554719,0.16776918373692218,1.5126953125,eos_token,0.0
code,code_004,Write a Python function to compute TF‑IDF scores for a tiny corpus and explain each step inline.,657,614,78.66877698898315,78.6877372264862,0.26782675747457707,0.2429856579350338,0.0017337799072265625,eos_token,0.0654
code,code_005,"Implement mergesort and quicksort in Python, compare their performance on random arrays, and explain results.",768,668,116.62656688690186,82.19307708740234,0.2373528458022823,0.2549575361226475,0.0009288787841796875,eos_patience_fallback,0.1302
code,code_006,Write a Python function to detect palindromic substrings (expand‑around‑center) and explain complexity.,634,397,89.16986322402954,45.33509302139282,0.19590878261000577,0.23987416521427912,0.059234619140625,eos_token,0.3738
code,code_007,Write a Python script that reads a text file and outputs the top 20 most frequent bigrams; explain choices.,594,500,68.40305209159851,60.619507789611816,0.19198659182798983,0.20366828525066374,0.2025146484375,eos_token,0.1582
code,code_008,Implement a simple Naive Bayes text classifier from scratch in Python with comments.,726,709,107.57722282409668,95.59482979774475,0.2670231986965358,0.18560290008741306,0.05145263671875,eos_token,0.0234
code,code_009,Write a Python function to validate IPv4 addresses using regex and explain edge cases.,597,591,81.61540603637695,70.81265306472778,0.24730510557915897,0.2132007076252132,0.05047607421875,eos_token,0.0101
code,code_010,Implement a basic event emitter pattern in Python and document usage with an example.,481,545,61.06787586212158,61.817821979522705,0.16533780606025966,0.25155031582631104,0.001529693603515625,eos_token,0.0
code,code_011,Write a Python function to convert infix expressions to postfix (Shunting Yard) and comment each step.,548,609,74.51155209541321,73.52218079566956,0.187960140787772,0.1328633232852704,0.642578125,eos_token,0.0
code,code_012,Implement binary search tree insert/search/delete in Python with docstrings and complexity notes.,768,672,112.97126603126526,87.17671990394592,0.10084813910846908,0.0809519025718882,5.036592483520508e-05,eos_token,0.125
code,code_013,Write a Python script that loads a CSV of expenses and outputs monthly totals; include CLI parsing and help.,467,490,60.308785915374756,54.98382782936096,0.23306817901211072,0.17775656520103922,0.00030803680419921875,eos_token,0.0
code,code_014,Write a Python function to compute edit distance (Levenshtein) and explain dynamic programming states.,723,576,102.63362193107605,72.22463417053223,0.17810165783181725,0.15394219497425687,0.01194000244140625,eos_token,0.2033
procedures,procedures_000,"Explain step‑by‑step how to bake a sourdough loaf at home, including starter maintenance.",768,768,123.72622203826904,106.74100494384766,0.18357595754787326,0.15868579720457396,0.77001953125,cap_safety,0.0
procedures,procedures_001,Explain how to migrate a small website from a shared host to a cloud VM with minimal downtime.,695,737,94.2653739452362,101.25977683067322,0.4329100849817125,0.39603744093404536,0.00011676549911499023,eos_token,0.0
procedures,procedures_002,Explain how to set up a home Wi‑Fi network securely for a non‑technical person.,611,620,84.58732223510742,76.24948787689209,0.3716741140852583,0.38356100378497954,0.880859375,eos_token,0.0
procedures,procedures_003,"Explain how to prepare for a long‑distance hike: gear, training, nutrition, and safety.",768,768,115.58094692230225,103.60091400146484,0.3716687961326291,0.3735025246472408,1.8715858459472656e-05,cap_safety,0.0
procedures,procedures_004,Explain how to safely jump‑start a car and what common mistakes to avoid.,742,754,104.59240698814392,103.64662599563599,0.30576618710618136,0.3133275599789556,0.016143798828125,eos_token,0.0
procedures,procedures_005,Explain how to create and follow a monthly personal budget with simple categories.,576,638,78.9242377281189,81.08162212371826,0.2513730154476232,0.23019276825611867,0.64892578125,eos_token,0.0
procedures,procedures_006,Explain how to back up family photos reliably across devices and cloud services.,634,719,88.26373195648193,94.28858304023743,0.4323282194814471,0.35957872768104987,0.0001308917999267578,eos_token,0.0
procedures,procedures_007,"Explain how to host a small community event: planning, permits, logistics, and accessibility.",675,665,92.986496925354,85.83696794509888,0.38405048299718786,0.41493860922361675,0.0921630859375,eos_token,0.0148
procedures,procedures_008,"Explain how to start a small vegetable garden on a balcony: soil, containers, and watering.",564,538,79.78200817108154,63.50005292892456,0.34110962234913034,0.27364422242437597,5.030632019042969e-05,eos_token,0.0461
procedures,procedures_009,"Explain how to negotiate a job offer: salary, benefits, and growth opportunities.",697,729,100.86071014404297,98.68429780006409,0.460405468000059,0.4283949157992181,3.2901763916015625e-05,eos_token,0.0
procedures,procedures_010,Explain how to assemble a basic emergency kit for a household of two for 72 hours.,530,650,72.20735883712769,81.98924684524536,0.2601531523578572,0.3290076866316325,0.00016558170318603516,eos_patience_fallback,0.0
procedures,procedures_011,Explain how to set up two‑factor authentication across common services and why it matters.,614,676,85.55905175209045,83.92184114456177,0.37241530709623905,0.3680248061228081,0.81787109375,eos_token,0.0
procedures,procedures_012,"Explain how to plan an affordable international trip: flights, lodging, phones, and money.",712,723,102.7309021949768,97.15270709991455,0.3299822731969062,0.34709078098233803,5.84721565246582e-05,eos_token,0.0
procedures,procedures_013,Explain how to build a weekly meal plan and grocery list for a family of four.,768,768,115.82906103134155,105.09086203575134,0.3143863525086393,0.35419585602357984,8.463859558105469e-06,cap_safety,0.0
procedures,procedures_014,"Explain how to troubleshoot a slow laptop: diagnostics, cleanup, and upgrades.",632,768,86.70092391967773,103.8325400352478,0.4144094360968735,0.3297181920303653,0.0003428459167480469,cap_safety,0.0
creative,creative_000,Write a scene (~500–800 words) where two strangers share an umbrella and reveal a secret without saying it directly.,737,721,107.63443279266357,96.09421420097351,0.6146757838036991,0.5727072944257527,0.0109710693359375,eos_token,0.0217
creative,creative_001,Write a city vignette at midnight where the streetlights are unreliable and memories spill onto the pavement.,473,379,62.196544885635376,36.0719199180603,0.7241020123247869,0.7137014493149629,1.0849609375,eos_token,0.1987
creative,creative_002,Write a short story opening where time is a library and everyone owes late fees for their past choices.,453,679,44.4806969165802,76.11498022079468,0.848914667996876,0.6753616117939507,0.00023603439331054688,eos_token,0.0
creative,creative_003,Write a travel diary entry from a future Mars settler describing the first dust storm from inside a dome.,442,555,53.61211085319519,55.958255767822266,0.6520784139902883,0.6510491340010016,0.00017189979553222656,eos_token,0.0
creative,creative_004,Write a micro‑fiction in epistolary form (letters) between a lighthouse and the ships it guides.,490,375,61.39949893951416,36.79389524459839,0.6393920174666814,0.7011184097892622,0.026336669921875,eos_patience_fallback,0.2347
creative,creative_005,Write a dreamlike description of an abandoned train station that still remembers every arrival.,534,498,59.87841486930847,52.90623879432678,0.70523556028859,0.7286264387718645,0.0002598762512207031,eos_token,0.0674
creative,creative_006,Write a scene where a chef explains flavor like a physicist and a musician takes notes.,505,691,60.62658405303955,85.19969630241394,0.5207934941395674,0.5020849613308389,2.664327621459961e-05,eos_token,0.0
creative,creative_007,Write a fable about a river that forgets its source and must learn the names of its tributaries again.,665,653,95.11547899246216,81.4263710975647,0.4785422886224618,0.533888858182507,0.0179290771484375,eos_token,0.018
creative,creative_008,Write a monologue from a cartographer who maps places that no longer exist.,480,553,61.48290991783142,61.30885982513428,0.6723877806216478,0.6528466065796547,0.0001983642578125,eos_token,0.0
creative,creative_009,Write a passage where a city’s pigeons carry rumors between rooftops like couriers of the wind.,529,406,68.52146506309509,43.01278018951416,0.7567287826583156,0.7815866336740297,0.00036334991455078125,eos_token,0.2325
creative,creative_010,Write a scene set in a museum at night where the exhibits hold a union meeting.,494,533,51.49223804473877,57.44555306434631,0.6517546123821243,0.7567588733911067,0.92041015625,eos_token,0.0
creative,creative_011,Write a letter from a glacier to the ocean about separation and eventual reunion.,425,382,51.57935690879822,31.244041919708252,0.6877364122166353,0.6379667500238768,0.0259246826171875,eos_token,0.1012
creative,creative_012,Write a story seed where a watchmaker repairs time for people who can’t heal otherwise.,768,692,98.8473870754242,88.10222578048706,0.6163458218021939,0.6928115836802246,1.2822265625,eos_token,0.099
creative,creative_013,Write a description of music that looks like rain; keep it synesthetic and precise.,326,288,38.766560792922974,22.990612983703613,0.7737718608481753,0.7384645796070496,0.0170745849609375,eos_token,0.1166
creative,creative_014,Write a parable about a library card that opens doors in the real world.,658,535,79.7996129989624,67.10665535926819,0.5921573149759356,0.549589271300307,8.022785186767578e-05,eos_token,0.1869
